corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,M3,4,4,32,0,66.4300,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,1,43.9800,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,2,43.6600,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,3,43.5390,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,4,44.6610,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,5,44.5010,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,6,43.8600,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,7,46.7060,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,8,46.1050,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,9,44.5810,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,10,44.3410,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,11,44.6620,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,12,45.1030,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,13,41.4940,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,14,44.3810,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,15,42.5370,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,16,43.6580,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,17,41.1330,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,18,44.1400,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,19,43.9400,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,20,42.4560,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,21,42.9770,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,22,43.4990,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,23,43.3380,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,24,43.7790,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,25,43.2590,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,26,43.4190,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,27,43.0570,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
