corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc
v45,P3,1,2,8,0,40.9689,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,1,43.3719,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,2,35.1320,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,3,31.7651,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,4,31.3460,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,5,32.2131,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,6,34.6091,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,7,30.6331,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,8,33.4450,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,9,32.0631,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,10,30.7849,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,11,31.7402,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,12,30.5481,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,13,31.3800,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,14,30.4170,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,15,31.8901,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,16,30.7099,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,17,30.6750,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,18,31.1460,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,19,29.8880,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,20,29.7648,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,21,30.6522,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,22,30.5981,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,23,32.2259,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,8,24,31.6591,gfx942,b21u01,2026-05-11T06:04:26.622348+00:00
v45,P3,1,2,16,0,46.6038,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,1,44.3910,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,2,41.6511,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,3,40.8699,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,4,42.0620,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,5,43.2471,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,6,40.7479,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,7,39.9051,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,8,42.4229,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,9,42.2380,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,10,40.4411,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,11,40.9598,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,12,41.6241,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,13,40.9791,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,14,39.9188,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,15,45.2371,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,16,42.3340,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,17,40.5831,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,18,40.2769,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,19,39.8050,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,20,41.6341,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,21,41.7549,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,22,41.7999,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,23,41.2050,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,16,24,39.8881,gfx942,b21u01,2026-05-11T06:04:26.625296+00:00
v45,P3,1,2,32,0,69.8280,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,1,65.0079,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,2,62.0252,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,3,62.3590,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,4,60.7790,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,5,62.8051,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,6,60.3180,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,7,61.9600,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,8,63.6531,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,9,63.7318,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,10,60.3618,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,11,61.2030,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,12,61.5341,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,13,63.4240,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,14,60.9320,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,15,61.0920,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,16,63.7160,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,17,62.2110,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,18,60.1211,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,19,175.8791,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,20,61.9839,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,21,60.2379,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,22,57.3571,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,23,59.2060,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,32,24,59.7390,gfx942,b21u01,2026-05-11T06:04:26.628752+00:00
v45,P3,1,2,64,0,100.1749,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,1,96.2180,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,2,94.5749,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,3,97.0219,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,4,94.5269,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,5,94.6401,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,6,92.9909,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,7,97.4408,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,8,95.9821,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,9,95.0079,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,10,94.5509,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,11,93.0470,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,12,95.0322,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,13,95.5870,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,14,93.6259,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,15,94.8650,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,16,94.3500,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,17,95.5551,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,18,94.1809,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,19,94.0268,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,20,95.1460,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,21,95.6461,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,22,95.5721,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,23,94.7472,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,64,24,95.0559,gfx942,b21u01,2026-05-11T06:04:26.633006+00:00
v45,P3,1,2,128,0,180.0400,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,1,175.8130,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,2,170.7592,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,3,167.3580,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,4,167.9331,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
v45,P3,1,2,128,5,178.8349,gfx942,b21u01,2026-05-11T06:04:26.639350+00:00
