corpus_version,focal,interferer,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,P3,__none__,4,4,32,0,49.6330,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,1,42.3770,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,2,43.7800,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,3,42.6970,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,4,43.8200,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,5,42.4170,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,6,43.9790,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,7,43.0180,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,8,44.1410,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,9,42.7770,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,10,44.1000,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,11,43.4180,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,12,45.5030,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,13,42.6570,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,14,43.7390,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,15,43.2180,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,16,44.6200,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,17,42.4960,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,18,43.1780,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,19,42.5760,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,20,43.5390,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,21,42.3760,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,22,43.3380,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,23,43.0570,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,24,43.7800,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
