paired_with,n,sl_p50,sl_p95,lat_ns_p50,lat_ns_baseline_full_p50,lat_ns_baseline_subset_p50,note
__BASELINE_FULL_R3__,4375,1.000,1.000,27503.000,27503.000,27503.000,R3 baseline across full 175-cell sweep — headline reference
__BASELINE_SUBSET_R3__,675,1.000,1.000,30148.000,27503.000,30148.000,R3 baseline restricted to the 27 cells used in the paired sweep
ATOMIC_ADD_RELAXED,135,1.222,1.582,40251.002,27503.000,30148.000,
ATOMIC_FADD_ACQUIRE,135,1.205,1.587,39971.001,27503.000,30148.000,
ATOMIC_FADD_RELEASE,135,1.212,1.551,39209.001,27503.000,30148.000,
ATOMIC_OR_RELAXED,135,1.207,1.754,43097.999,27503.000,30148.000,
ATOMIC_XCHG_ACQUIRE,135,1.206,1.610,41053.999,27503.000,30148.000,
ATOMIC_XCHG_ACQ_REL,135,1.229,1.680,41976.001,27503.000,30148.000,
ATOMIC_XCHG_RELAXED,135,1.223,1.579,40171.999,27503.000,30148.000,
ATOMIC_XCHG_RELEASE,135,1.230,1.574,39771.002,27503.000,30148.000,
ATOMIC_XOR_RELAXED,135,1.214,1.617,41014.001,27503.000,30148.000,
