primitive,primitive_id,version,sem,scope,op,source_rank,destination_rank,num_ranks,n_elements,block_size,buffer_bytes,dtype,rep,latency_ms,latency_ns,algo_bw_gbps,bus_bw_gbps,paired_with,interference_slowdown,gpu_arch,node,container_image,git_sha,ts_utc
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,1024,1,4096,int32,0,0.058733001351356506,58733.001351356506,0.0649498097807817,0.0649498097807817,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,1024,1,4096,int32,1,0.04221599921584129,42215.99921584129,0.0903614112299291,0.0903614112299291,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,1024,1,4096,int32,2,0.040010999888181686,40010.99988818169,0.0953412130735521,0.0953412130735521,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,1024,1,4096,int32,3,0.03395700082182884,33957.00082182884,0.11233905154464549,0.11233905154464549,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,1024,1,4096,int32,4,0.03291400149464607,32914.00149464607,0.11589892120061775,0.11589892120061775,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,3,8,1024,1,4096,int32,0,0.048951998353004456,48951.998353004456,0.07792730417492487,0.07792730417492487,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,3,8,1024,1,4096,int32,1,0.03920900076627731,39209.00076627731,0.09729136655035409,0.09729136655035409,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,3,8,1024,1,4096,int32,2,0.039730001240968704,39730.001240968704,0.09601553351303115,0.09601553351303115,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,3,8,1024,1,4096,int32,3,0.03411800041794777,34118.00041794777,0.11180893425449046,0.11180893425449046,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,3,8,1024,1,4096,int32,4,0.03319599851965904,33195.99851965904,0.11491437027766746,0.11491437027766746,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,7,8,1024,1,4096,int32,0,0.04598399996757507,45983.99996757507,0.08295705611331933,0.08295705611331933,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,7,8,1024,1,4096,int32,1,0.03584200143814087,35842.00143814087,0.10643092217405113,0.10643092217405113,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,7,8,1024,1,4096,int32,2,0.03491999953985214,34919.99953985214,0.10924104570137552,0.10924104570137552,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,7,8,1024,1,4096,int32,3,0.030789999291300774,30789.999291300774,0.12389403551245881,0.12389403551245881,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,7,8,1024,1,4096,int32,4,0.03111100010573864,31111.00010573864,0.12261570674873137,0.12261570674873137,ATOMIC_OR_RELAXED,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479283
