run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,0,0.382669,81.6633,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,1,0.422880,73.8980,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,2,0.378941,82.4667,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,3,0.379943,82.2492,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,4,0.377096,82.8701,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,5,0.381387,81.9378,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,6,0.377217,82.8436,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,7,0.382188,81.7660,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,8,0.376896,82.9141,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,9,0.379662,82.3101,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,10,0.375613,83.1973,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,11,0.378821,82.4928,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,12,0.376896,82.9141,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,0,16777216,4194304,13,0.378219,82.6241,8,gfx942:sramecc+:xnack-,j06u19,1778487696.883
