same_gpu,scope,dtype,time_ms_median,bw_gibps_median,n_rows
False,cta,int32,0.38134650000000003,81.9465,4200
False,cta,int64,0.381266,81.9638,4200
False,gpu,int32,0.565524,55.2585,4200
False,gpu,int64,0.4214375,74.151,4200
False,sys,int32,1.0670435,29.28655,4200
False,sys,int64,1.069188,29.2278,4200
True,cta,int32,0.036643,852.8232,600
True,cta,int64,0.036483,856.5633,600
True,gpu,int32,0.5619365000000001,55.61125,600
True,gpu,int64,0.296033,105.5626,600
True,sys,int32,0.620048,50.3993,600
True,sys,int64,0.349073,89.5228,600
