scope,block_size,dtype,time_ms_median,time_ms_p99,bw_gibps_median,bw_gibps_p99,n_rows
cta,256,int32,0.3810055,0.39859503,82.0198,990.440973,1600
cta,256,int64,0.380785,0.38792141,82.0673,970.7079,1600
cta,1024,int32,0.38074450000000004,0.38800260999999997,82.076,971.952313,1600
cta,1024,int64,0.380825,0.39850942,82.0587,986.6759,1600
cta,4096,int32,0.380865,0.43495,82.0501,950.593488,1600
cta,4096,int64,0.380865,0.43055002,82.0501,969.5153459999999,1600
gpu,256,int32,0.562959,0.5684970199999999,55.5103,56.061460000000004,1600
gpu,256,int64,0.42697,0.45468142,73.1902,106.99710400000001,1600
gpu,1024,int32,0.566246,0.57367503,55.188,56.041041,1600
gpu,1024,int64,0.420836,0.44525782,74.257,106.865546,1600
gpu,4096,int32,0.566848,0.6071002000000001,55.1294,55.980779999999996,1600
gpu,4096,int64,0.411014,0.46017421999999997,76.0315,106.85094600000001,1600
sys,256,int32,1.0748415,1.10498901,29.07405,50.733965999999995,1600
sys,256,int64,1.084343,1.11513942,28.8193,91.563,1600
sys,1024,int32,1.057642,1.0904854099999999,29.5469,50.615233,1600
sys,1024,int64,1.059246,1.088793,29.5021,89.894907,1600
sys,4096,int32,1.057582,1.0927636,29.54855,50.6713,1600
sys,4096,int64,1.0511275,1.08618741,29.72995,90.009626,1600
