ordering_class,issue_op,issue_sem,observe_op,observe_sem,prod_num_warps,cons_num_warps,prod_waves_per_CU,cons_waves_per_CU,imbalance_ratio,n_workgroups,wgs_per_cu,block_size,buffer_bytes,buffer_class,n_elements,dtype,src_rank,dst_rank,n_repeat,n_warmup,world_size,ms_mean,us_per_call,node,ts
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,1,8,1.0,8.0,0.125,304,1.0,256,2097152,L2,524288,int32,0,1,25,4,8,0.0650266806781292,65.0266806781292,c09u13,1778503410.7998967
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,1,8,1.0,8.0,0.125,304,1.0,256,33554432,HBM,8388608,int32,0,1,25,4,8,0.0644861201941967,64.4861201941967,c09u13,1778503410.8093016
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,1,8,1.0,8.0,0.125,304,1.0,1024,2097152,L2,524288,int32,0,1,25,4,8,0.15106596052646637,151.06596052646637,c09u13,1778503411.1236186
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,1,8,1.0,8.0,0.125,304,1.0,1024,33554432,HBM,8388608,int32,0,1,25,4,8,0.14513884067535401,145.138840675354,c09u13,1778503411.1357143
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,1,8,4.0,32.0,0.125,1216,4.0,256,2097152,L2,524288,int32,0,1,25,4,8,0.1782078391313553,178.20783913135529,c09u13,1778503411.1495504
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,1,8,4.0,32.0,0.125,1216,4.0,256,33554432,HBM,8388608,int32,0,1,25,4,8,0.17753916025161742,177.53916025161743,c09u13,1778503411.1637197
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,1,8,4.0,32.0,0.125,1216,4.0,1024,2097152,L2,524288,int32,0,1,25,4,8,0.4391674387454987,439.16743874549866,c09u13,1778503411.185636
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,1,8,4.0,32.0,0.125,1216,4.0,1024,33554432,HBM,8388608,int32,0,1,25,4,8,0.4664151573181152,466.41515731811523,c09u13,1778503411.2067776
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,2,8,2.0,8.0,0.25,304,1.0,256,2097152,L2,524288,int32,0,1,25,4,8,0.06618119925260543,66.18119925260544,c09u13,1778503411.276466
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,2,8,2.0,8.0,0.25,304,1.0,256,33554432,HBM,8388608,int32,0,1,25,4,8,0.06473800092935562,64.73800092935562,c09u13,1778503411.2857788
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,2,8,2.0,8.0,0.25,304,1.0,1024,2097152,L2,524288,int32,0,1,25,4,8,0.153646160364151,153.646160364151,c09u13,1778503411.4301257
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,2,8,2.0,8.0,0.25,304,1.0,1024,33554432,HBM,8388608,int32,0,1,25,4,8,0.14980391919612884,149.80391919612885,c09u13,1778503411.4430206
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,2,8,8.0,32.0,0.25,1216,4.0,256,2097152,L2,524288,int32,0,1,25,4,8,0.18673440098762512,186.73440098762512,c09u13,1778503411.4562075
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,2,8,8.0,32.0,0.25,1216,4.0,256,33554432,HBM,8388608,int32,0,1,25,4,8,0.18582199811935424,185.82199811935425,c09u13,1778503411.470702
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,2,8,8.0,32.0,0.25,1216,4.0,1024,2097152,L2,524288,int32,0,1,25,4,8,0.4504042387008667,450.4042387008667,c09u13,1778503411.492554
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,2,8,8.0,32.0,0.25,1216,4.0,1024,33554432,HBM,8388608,int32,0,1,25,4,8,0.477842800617218,477.842800617218,c09u13,1778503411.5155263
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,4,8,4.0,8.0,0.5,304,1.0,256,2097152,L2,524288,int32,0,1,25,4,8,0.07031551957130432,70.31551957130432,c09u13,1778503411.5259106
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,4,8,4.0,8.0,0.5,304,1.0,256,33554432,HBM,8388608,int32,0,1,25,4,8,0.06979895949363708,69.79895949363708,c09u13,1778503411.5379333
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,4,8,4.0,8.0,0.5,304,1.0,1024,2097152,L2,524288,int32,0,1,25,4,8,0.15761683881282806,157.61683881282806,c09u13,1778503411.632372
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,4,8,4.0,8.0,0.5,304,1.0,1024,33554432,HBM,8388608,int32,0,1,25,4,8,0.15798564016819,157.98564016819,c09u13,1778503411.6448753
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,4,8,16.0,32.0,0.5,1216,4.0,256,2097152,L2,524288,int32,0,1,25,4,8,0.21704843878746033,217.04843878746033,c09u13,1778503411.6597452
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,4,8,16.0,32.0,0.5,1216,4.0,256,33554432,HBM,8388608,int32,0,1,25,4,8,0.2172312009334564,217.23120093345642,c09u13,1778503411.6747313
XCHG_ACQREL,xchg,acq_rel,max,acq_rel,4,8,16.0,32.0,0.5,1216,4.0,1024,2097152,L2,524288,int32,0,1,25,4,8,0.45556627988815307,455.5662798881531,c09u13,1778503411.697902
