x,flops,bytes,time_ns
128,2576980377600,5662310400,28864824
256,5153960755200,6291456000,28519585
384,7730941132800,6920601600,31769665
512,10307921510400,7549747200,52414670
640,12884901888000,8178892800,56153849
768,15461882265600,8808038400,55847716
896,18038862643200,9437184000,58882263
1024,20615843020800,10066329600,62999369
1152,23192823398400,10695475200,70688295
1280,25769803776000,11324620800,124166903
1408,28346784153600,11953766400,122986911
1536,30923764531200,12582912000,123685715
1664,33500744908800,13212057600,128085405
1792,36077725286400,13841203200,128154427
1920,38654705664000,14470348800,127322871
2048,41231686041600,15099494400,128509515
2176,43808666419200,15728640000,134948143
2304,46385646796800,16357785600,138020500
2432,48962627174400,16986931200,140639148
2560,51539607552000,17616076800,190120269
2688,54116587929600,18245222400,192907768
2816,56693568307200,18874368000,191691242
2944,59270548684800,19503513600,191707865
3072,61847529062400,20132659200,193844516
3200,64424509440000,20761804800,202289562
3328,67001489817600,21390950400,204078376
3456,69578470195200,22020096000,205126412
3584,72155450572800,22649241600,208851338
3712,74732430950400,23278387200,259636799
3840,77309411328000,23907532800,258676296
3968,79886391705600,24536678400,259409861
4096,82463372083200,25165824000,262856332
4224,85040352460800,25794969600,267845652
4352,87617332838400,26424115200,270109290
4480,90194313216000,27053260800,273501606
4608,92771293593600,27682406400,275003357
4736,95348273971200,28311552000,284967377
4864,97925254348800,28940697600,285791633
4992,100502234726400,29569843200,330617378
5120,103079215104000,30198988800,331685202
5248,105656195481600,30828134400,336164558
5376,108233175859200,31457280000,338158882
5504,110810156236800,32086425600,341411111
5632,113387136614400,32715571200,340892063
5760,115964116992000,33344716800,346274719
5888,118541097369600,33973862400,353471557
6016,121118077747200,34603008000,351854482
6144,123695058124800,35232153600,401645625
6272,126272038502400,35861299200,404113325
6400,128849018880000,36490444800,404272966
6528,131425999257600,37119590400,404769262
6656,134002979635200,37748736000,410326464
6784,136579960012800,38377881600,413240828
6912,139156940390400,39007027200,421785587
7040,141733920768000,39636172800,418741554
7168,144310901145600,40265318400,419210209
7296,146887881523200,40894464000,431751890
7424,149464861900800,41523609600,478694291
7552,152041842278400,42152755200,475178866
7680,154618822656000,42781900800,484208192
7808,157195803033600,43411046400,483711656
7936,159772783411200,44040192000,484668833
8064,162349763788800,44669337600,485389744
