x,flops,bytes,time_ns
4,5114953728000,316588851200,229231225
5,6393692160000,321875968000,228284616
6,7672430592000,322520678400,228223807
7,8951169024000,322878668800,227834582
8,10229907456000,323482419200,228046991
10,12787384320000,324427776000,227726783
12,15344861184000,325386240000,227592958
14,17902338048000,326347980800,227404952
16,20459814912000,327316275200,229208132
20,25574768640000,329220096000,230553996
24,30689722368000,331137024000,251597487
28,35804676096000,333034291200,279705601
32,40919629824000,334983987200,316257166
40,51149537280000,338804736000,289706065
48,61379444736000,342599270400,293391124
56,71609352192000,346406912000,341865358
64,81839259648000,350266982400,416288960
80,102299074560000,357908480000,527090009
96,122758889472000,365602406400,544567337
112,143218704384000,373243904000,561101625
128,163678519296000,380832972800,660558982
160,204598149120000,396115968000,797580647
192,245517778944000,411608678400,939491076
224,286437408768000,426734387200,1068135806
256,327357038592000,442174668800,1185116585
288,368276668416000,457614950400,1320147272
320,409196298240000,472268800000,1450993773
352,450115928064000,487630438400,1581840769
384,491035557888000,502992076800,1726004642
416,531955187712000,518353715200,1839666774
448,572874817536000,533715353600,1953083431
480,613794447360000,549076992000,2097682088
512,654714077184000,564438630400,2194137625
544,695633707008000,579800268800,2330817797
576,736553336832000,595161907200,2437783081
608,777472966656000,610523545600,2516265185
640,818392596480000,625885184000,2668263477
672,859312226304000,641246822400,2811944342
704,900231856128000,656608460800,2894832023
736,941151485952000,671970099200,3007210617
768,982071115776000,687331737600,3101959102
800,1022990745600000,702693376000,3251389289
832,1063910375424000,718055014400,3353773305
864,1104830005248000,733416652800,3461187609
896,1145749635072000,748778291200,3599218048
928,1186669264896000,764139929600,3709312846
960,1227588894720000,779501568000,3847814852
992,1268508524544000,794863206400,3949735488
