x,flops,bytes,time_ns
4,5114953728000,624255795200,205584303
5,6393692160000,629321728000,203088317
6,7672430592000,634721894400,203332648
7,8951169024000,639835340800,203429909
8,10229907456000,640217907200,203855025
10,12787384320000,640720896000,203720746
12,15344861184000,641236992000,203922899
14,17902338048000,641756364800,202754736
16,20459814912000,642282291200,203614573
20,25574768640000,643301376000,204816365
24,30689722368000,644333568000,206573437
28,35804676096000,645346099200,240566535
32,40919629824000,646411059200,269868663
40,51149537280000,648462336000,243101467
48,61379444736000,650487398400,243150212
56,71609352192000,652525568000,253662983
64,81839259648000,654616166400,320351788
80,102299074560000,658718720000,398678631
96,122758889472000,662873702400,386547162
112,143218704384000,666976256000,411633772
128,163678519296000,671026380800,480649833
160,204598149120000,679231488000,577256994
192,245517778944000,687646310400,654517622
224,286437408768000,695694131200,757656809
256,327357038592000,704056524800,825908828
288,368276668416000,712418918400,910974227
320,409196298240000,719994880000,998331372
352,450115928064000,728278630400,1083775173
384,491035557888000,736562380800,1173997009
416,531955187712000,744846131200,1255428104
448,572874817536000,753129881600,1338101067
480,613794447360000,761413632000,1426378704
512,654714077184000,769697382400,1156660413
544,695633707008000,777981132800,1225411640
576,736553336832000,786264883200,1285083244
608,777472966656000,794548633600,1330013785
640,818392596480000,802832384000,1410339658
672,859312226304000,811116134400,1481048874
704,900231856128000,819399884800,1536000426
736,941151485952000,827683635200,1585042160
768,982071115776000,835967385600,1659453938
800,1022990745600000,844251136000,1717768447
832,1063910375424000,852534886400,1788969645
864,1104830005248000,860818636800,1844080800
896,1145749635072000,869102387200,1915093936
928,1186669264896000,877386137600,1958172813
960,1227588894720000,885669888000,2036257095
992,1268508524544000,893953638400,2107776114
