row_id,timestamp,gpu,dcc_mode,ordering,block,wgp,rep,mean_us,std_us,atomic_gops_s,tcc_dcc_hit,tcc_dcc_miss,tcp_tcc_atomic_req,sq_wait_proxy,status
1,1778532408.6676424,gfx942,dcc_disabled,RELAXED,64,16,0,26.9493,6.7289,0.0380,0,0,1024,2694,ok
2,1778532409.4250734,gfx942,dcc_disabled,RELAXED,64,16,1,24.3855,2.5700,0.0420,0,0,1024,2438,ok
3,1778532409.4261796,gfx942,dcc_disabled,RELAXED,64,16,2,23.7298,2.8112,0.0432,0,0,1024,2372,ok
4,1778532409.427126,gfx942,dcc_disabled,RELAXED,64,16,3,23.7720,1.5638,0.0431,0,0,1024,2377,ok
5,1778532409.428046,gfx942,dcc_disabled,RELAXED,64,16,4,22.6172,2.6592,0.0453,0,0,1024,2261,ok
6,1778532409.4290104,gfx942,dcc_disabled,RELAXED,64,16,5,26.8008,16.8182,0.0382,0,0,1024,2680,ok
7,1778532409.4299917,gfx942,dcc_disabled,RELAXED,64,16,6,22.9923,1.6974,0.0445,0,0,1024,2299,ok
8,1778532409.4308898,gfx942,dcc_disabled,RELAXED,64,16,7,23.4292,4.0560,0.0437,0,0,1024,2342,ok
9,1778532409.4318073,gfx942,dcc_disabled,RELAXED,64,16,8,23.4792,1.8225,0.0436,0,0,1024,2347,ok
10,1778532409.43272,gfx942,dcc_disabled,RELAXED,64,16,9,23.2507,1.7495,0.0440,0,0,1024,2325,ok
11,1778532409.4336278,gfx942,dcc_disabled,RELAXED,64,16,10,23.4131,1.8955,0.0437,0,0,1024,2341,ok
12,1778532409.434545,gfx942,dcc_disabled,RELAXED,64,16,11,23.1403,1.7401,0.0443,0,0,1024,2314,ok
13,1778532409.4354632,gfx942,dcc_disabled,RELAXED,64,16,12,24.0627,2.1108,0.0426,0,0,1024,2406,ok
14,1778532409.436385,gfx942,dcc_disabled,RELAXED,64,16,13,25.8085,9.1352,0.0397,0,0,1024,2580,ok
15,1778532409.4373448,gfx942,dcc_disabled,RELAXED,64,16,14,23.1867,2.2327,0.0442,0,0,1024,2318,ok
16,1778532409.4382524,gfx942,dcc_disabled,RELAXED,64,16,15,23.3048,2.3046,0.0439,0,0,1024,2330,ok
17,1778532409.4391737,gfx942,dcc_disabled,RELAXED,64,16,16,23.2025,1.8230,0.0441,0,0,1024,2320,ok
18,1778532409.4400725,gfx942,dcc_disabled,RELAXED,64,16,17,23.4210,2.0729,0.0437,0,0,1024,2342,ok
19,1778532409.4409742,gfx942,dcc_disabled,RELAXED,64,16,18,23.1564,1.3225,0.0442,0,0,1024,2315,ok
20,1778532409.4418826,gfx942,dcc_disabled,RELAXED,64,16,19,23.7620,1.4190,0.0431,0,0,1024,2376,ok
21,1778532409.4427927,gfx942,dcc_disabled,RELAXED,64,16,20,23.3911,1.5960,0.0438,0,0,1024,2339,ok
22,1778532409.4436922,gfx942,dcc_disabled,RELAXED,64,16,21,23.7679,1.5268,0.0431,0,0,1024,2376,ok
23,1778532409.4446015,gfx942,dcc_disabled,RELAXED,64,16,22,23.0562,2.0085,0.0444,0,0,1024,2305,ok
24,1778532409.4455056,gfx942,dcc_disabled,RELAXED,64,16,23,22.9721,1.7026,0.0446,0,0,1024,2297,ok
25,1778532409.4463928,gfx942,dcc_disabled,RELAXED,64,16,24,22.9481,2.1119,0.0446,0,0,1024,2294,ok
26,1778532409.4472945,gfx942,dcc_disabled,RELAXED,64,32,0,23.1004,1.7434,0.0887,0,0,2048,2310,ok
27,1778532409.448193,gfx942,dcc_disabled,RELAXED,64,32,1,22.9303,1.5168,0.0893,0,0,2048,2293,ok
28,1778532409.4491034,gfx942,dcc_disabled,RELAXED,64,32,2,23.2288,2.1106,0.0882,0,0,2048,2322,ok
29,1778532409.4499922,gfx942,dcc_disabled,RELAXED,64,32,3,22.6274,1.6390,0.0905,0,0,2048,2262,ok
30,1778532409.450874,gfx942,dcc_disabled,RELAXED,64,32,4,23.1305,1.9561,0.0885,0,0,2048,2313,ok
31,1778532409.451758,gfx942,dcc_disabled,RELAXED,64,32,5,23.3931,2.2175,0.0875,0,0,2048,2339,ok
32,1778532409.4526541,gfx942,dcc_disabled,RELAXED,64,32,6,23.6496,1.6949,0.0866,0,0,2048,2364,ok
33,1778532409.4535468,gfx942,dcc_disabled,RELAXED,64,32,7,22.8698,1.9364,0.0896,0,0,2048,2286,ok
34,1778532409.454442,gfx942,dcc_disabled,RELAXED,64,32,8,23.1625,1.8179,0.0884,0,0,2048,2316,ok
35,1778532409.4553285,gfx942,dcc_disabled,RELAXED,64,32,9,23.2026,1.6167,0.0883,0,0,2048,2320,ok
36,1778532409.4562118,gfx942,dcc_disabled,RELAXED,64,32,10,22.7716,2.3615,0.0899,0,0,2048,2277,ok
37,1778532409.457105,gfx942,dcc_disabled,RELAXED,64,32,11,22.9581,1.8632,0.0892,0,0,2048,2295,ok
38,1778532409.458001,gfx942,dcc_disabled,RELAXED,64,32,12,23.0723,1.4773,0.0888,0,0,2048,2307,ok
39,1778532409.4588957,gfx942,dcc_disabled,RELAXED,64,32,13,23.5113,2.8759,0.0871,0,0,2048,2351,ok
40,1778532409.459788,gfx942,dcc_disabled,RELAXED,64,32,14,22.9922,1.9410,0.0891,0,0,2048,2299,ok
41,1778532409.4606843,gfx942,dcc_disabled,RELAXED,64,32,15,23.1705,1.7283,0.0884,0,0,2048,2317,ok
42,1778532409.461576,gfx942,dcc_disabled,RELAXED,64,32,16,23.1966,2.2481,0.0883,0,0,2048,2319,ok
43,1778532409.4624746,gfx942,dcc_disabled,RELAXED,64,32,17,23.6175,2.1322,0.0867,0,0,2048,2361,ok
44,1778532409.4633682,gfx942,dcc_disabled,RELAXED,64,32,18,23.6114,2.2997,0.0867,0,0,2048,2361,ok
45,1778532409.4642687,gfx942,dcc_disabled,RELAXED,64,32,19,23.2667,2.2465,0.0880,0,0,2048,2326,ok
46,1778532409.465163,gfx942,dcc_disabled,RELAXED,64,32,20,23.1726,1.9936,0.0884,0,0,2048,2317,ok
47,1778532409.4660501,gfx942,dcc_disabled,RELAXED,64,32,21,22.8940,1.3652,0.0895,0,0,2048,2289,ok
48,1778532409.4669437,gfx942,dcc_disabled,RELAXED,64,32,22,22.8640,1.5584,0.0896,0,0,2048,2286,ok
49,1778532409.467835,gfx942,dcc_disabled,RELAXED,64,32,23,23.4974,2.0279,0.0872,0,0,2048,2349,ok
50,1778532409.4687285,gfx942,dcc_disabled,RELAXED,64,32,24,23.3289,1.3145,0.0878,0,0,2048,2332,ok
51,1778532409.469628,gfx942,dcc_disabled,RELAXED,64,64,0,23.1405,2.2883,0.1770,0,0,4096,2314,ok
52,1778532409.470531,gfx942,dcc_disabled,RELAXED,64,64,1,23.2588,1.4240,0.1761,0,0,4096,2325,ok
53,1778532409.4714262,gfx942,dcc_disabled,RELAXED,64,64,2,23.3648,1.8346,0.1753,0,0,4096,2336,ok
54,1778532409.4723175,gfx942,dcc_disabled,RELAXED,64,64,3,23.1164,2.2383,0.1772,0,0,4096,2311,ok
55,1778532409.4732008,gfx942,dcc_disabled,RELAXED,64,64,4,23.1526,1.9557,0.1769,0,0,4096,2315,ok
56,1778532409.4741006,gfx942,dcc_disabled,RELAXED,64,64,5,23.5235,1.5557,0.1741,0,0,4096,2352,ok
57,1778532409.4749954,gfx942,dcc_disabled,RELAXED,64,64,6,23.2227,1.9235,0.1764,0,0,4096,2322,ok
58,1778532409.475887,gfx942,dcc_disabled,RELAXED,64,64,7,23.0544,1.5633,0.1777,0,0,4096,2305,ok
59,1778532409.4767754,gfx942,dcc_disabled,RELAXED,64,64,8,22.9361,1.8941,0.1786,0,0,4096,2293,ok
60,1778532409.4776669,gfx942,dcc_disabled,RELAXED,64,64,9,23.1202,2.8990,0.1772,0,0,4096,2312,ok
61,1778532409.4785538,gfx942,dcc_disabled,RELAXED,64,64,10,23.7277,2.2284,0.1726,0,0,4096,2372,ok
62,1778532409.4794502,gfx942,dcc_disabled,RELAXED,64,64,11,23.8400,2.3772,0.1718,0,0,4096,2383,ok
63,1778532409.4803543,gfx942,dcc_disabled,RELAXED,64,64,12,23.2949,2.0451,0.1758,0,0,4096,2329,ok
64,1778532409.4812465,gfx942,dcc_disabled,RELAXED,64,64,13,23.0021,1.7200,0.1781,0,0,4096,2300,ok
65,1778532409.482143,gfx942,dcc_disabled,RELAXED,64,64,14,23.1246,1.9051,0.1771,0,0,4096,2312,ok
66,1778532409.4830253,gfx942,dcc_disabled,RELAXED,64,64,15,23.0622,1.5576,0.1776,0,0,4096,2306,ok
67,1778532409.4839213,gfx942,dcc_disabled,RELAXED,64,64,16,23.0644,1.4638,0.1776,0,0,4096,2306,ok
68,1778532409.484816,gfx942,dcc_disabled,RELAXED,64,64,17,23.6938,1.6957,0.1729,0,0,4096,2369,ok
69,1778532409.4857109,gfx942,dcc_disabled,RELAXED,64,64,18,23.0543,1.2919,0.1777,0,0,4096,2305,ok
70,1778532409.4865997,gfx942,dcc_disabled,RELAXED,64,64,19,23.6317,2.2798,0.1733,0,0,4096,2363,ok
